ID,Name,CustomExec,Categories,Hidden,
233610,Distance,,8,0,
234630,Project Cars,,8,0,
238280,Legend of Dungeon,,1,0,
244210,Assetto Corsa,,8,0,
264710,Subnautica,,55,0,
269170,Sports Bar VR,,29,0,
270130,The Gallery EP 1,,48,0, 
270880,American Truck Simulator,,8,0,
286160,Tabletop Simulator,,13,0,
296070,Mind: Path to Thalamus,,48,0,
300060,Adr1ft,,53|55,0,
301320,NoLimits 2 Roller Coaster Simulation,,61,0,
313630,Solus Project,,48,0,
322770,Vanishing Realms,,1,0,
327140,Tilt Brush,,13,0,
329860,Catlateral Damage,,36,0,
330770,Radial-G: Racing Revovled,,8,0,
331460,Rooms: The Unsolvable Puzzle,,59,0,
341800,Keep talking nobody explodes,,57|58,0,
342180,Arizona Sunshine,,20|26,0,
342260,Nevermind,,49,0,
345140,Crystal Rift,,51,0,
348250,Google Earth VR,,61,0,
356180,Time machine VR,,49,0,
356400,Thumper,,64,0,
357670,Home Improvisation: Furniture Sandbox,,13,0,
371300,Knee Deep,,55,0,
373650,The Assembly,,48,0,
377940,Slam,,59,0,
380670,Final Approach,,42|56,0,
381940,Trials on Tatooine,,61,0,
384750,Everest VR,,61,0,
386290,Kumoon,,58,0,
386690,Fantastic Contraption,,13|59,0,
392190,#SelfieTennis,,28,0,
392680,Jeeboman,,22,0,
394130,Water bears Vr,,60,0,
396060,The Rose and I,,62,0,
397750,Guided Meditation VR,,61,0,
400760,Zenblade,,7,0,
400940,Budget Cuts,,48,0,
402260,Dead secret,,45|51,0,
402800,Chunks,,13,0,
404390,Evil Robot Traffic Jam,,56,0,
407710,The Grand Canyon VR Experience,,61,0,
410390,Warhammer: Vermintide VR Hero Trials,,24,0,
410570,Gunjack,,70,0,
412050,HordeZ,,22,0,
412740,Audioshield,,63,0,
414120,ModBox,,13|26,0,
418650,Space pirate trainer,,24,0,
422860,Holodance,,63,0,
425720,Cloudlands: Minigolf,,26|29,0,
427240,Cosmic Trip,,57,0,
427760,A Chair in a room: Greenwater,,45,0,
428080,Racket: Nx,,28,0,
428370,Windlands,,52,0,
429830,Unseen Diplomacy,,54,0,
433600,Legend of Luca,,1,0,
433630,VRamp,,64,0,
433700,Carpe Lucem,,59,0,
435490,Pierhead Arcade,,30|36,0,
436220,A-10 VR,,24,0,
436320,Raw Data,,20|26,0,
436400,Heroes of the Seven Seas,,48,0,
436490,Firebird La Peri,,61,0,
436820,Waltz of the WIzard,,1|61,0,
436940,Quar Battle of Gate 18,,57,0,
439260,Butts,,62,0,
440630,Brookhaven Experiment,,24|44,0,
444530,Light repair team,,59,0,
444930,Zaccaria Pinball,,30,0,
446620,Zombie training simulator,,24,0,
446750,Portal Stories VR,,48,0,
446770,Skeet: VR Target shooting,,24,0,
447100,XLR,,21,0,
447960,Xcavalypse,,26,0,
448280,Job Simulator,,42,0,
448880,Spells 'n' Stuff,,1,0,
450390,The Lab: Secret Shop,,61,0,
450390,The Lab:Xortex,,70,0,
450390,The lab: longbow,,17,0,
450540,H3VR,,13|20,0,
451010,Kittypocalypse,,56,0,
451520,theBlu,,61,0,
451840,Out of Ammo,,22|57,0,
451870,Nighttime Terror VR: Dessert Defender,,56,0,
452490,The Cubicle,,45|61,0,
452710,Realities,,61,0,
455230,Bazaar,,1,0,
457320,Holoball,,28,0,
457340,Dimensional,,48,0,
457380,Storm VR,,60,0,
457420,Surgeon Simulator VR,,42,0,
457580,The visitor,,45,0,
457690,Hotel Blind,,61,0,
457770,Audio Arena,,63,0,
457860,Apollo 11 VR,,61,0,
457960,Holopoint,,17,0,
458920,Carnival Games VR,,30|36,0,
460580,Star Chart,,61,0,
460850,Alumette,,62,0,
462000,Cyberpong,,28|59,0,
464440,Annie amber,,41,0,
465150,Mars Odyssey,,61,0,
465240,SeriousSam: last hope,,24|26,0,
465430,Vertigo,,20|21,0,
468700,Nvidia Funhouse,,61,0,
471160,Galaxy Golf,,30|59,0,
471270,Leave the nest,,38,0,
472720,Car Car Crash Hands on Edition,,59,0,
473910,The nest,,25,0,
476430,SwingStar VR,,40,0,
476700,Island 359,,16,0,
477270,Lightblade VR,,7,0,
480690,Inbound,,57,0,
483970,Directionless,,45,0,
484350,VRZ Game,,21|44,0,
485240,Push for emor,,1|20,0,
485780,Soundstage,,13|63,0,
486290,Waddle home,,59,0,
486780,Fruit ninja VR,,7,0,
487620,Perfect Angle VR Zen Edition,,59,0,
488310,Eleven: Table Tennis VR,,26|28,0,
488590,Armed against the undead,,20|24|44,0,
488760,Left hand path,,1,0,
489380,QuiVR,,17|26,0,
489600,Golf Club VR,,29,0,
490490,Blasters of the Univese,,24,0,
491520,Zero-G VR,,42,0,
493100,Bellyots,,24,0,
493380,Chess VR,,57,0,
493410,Steampuff: Phinegan's factory,,24,0,
494150,Thrill of the fight,,67,0,
494780,Mageworks,,1|48,0,
494810,VR: Vacate the room,,6,0,
494830,Vivespray,,42,0,
495030,VR Battle grid,,26,0,
495390,Wire loop game VR,,42,0,
496000,Bowmage,,16,0,
496190,Senza Peso,,62,0,
496240,Onward,,21|26,0,
496250,Paddle up,,28,0,
497440,Homebound,,53|55,0,
498970,VRporize,,20,0,
498980,Duo,,28|59,0,
499400,Path of greatest resistance,,25,0,
499760,Redswood VR,,48,0,
500880,Tails,,42,0,
501110,Mount Wingsuit,,30|38,0,
502710,Last Sniper VR,,24,0,
503100,Black hat cooperative,,27,0,
503630,Invasion,,62,0,
503770,Elven Assassin,,17,0,
503900,Candy Smash VR,,7,0,
504010,Chernobyl projet,,62,0,
504560,The Unwelcomed,,6,0,
504840,Bricks Stack VR,,59,0,
505220,King of Spin VR,,28,0,
505660,Crystal Nebula,,70,0,
506780,Think Space,,13,0,
508580,CrapsVR,,30,0,
509360,Tresspass: Episode 1,,6,0,
510290,Dexed,,25,0,
510910,Temple of the Apsara,,48,0,
510930,Thirst,,25,0,
511560,World of Golf,,29,0,
511570,Nightstar,,70,0,
511600,Space jones VR,,70,0,
511690,Duck Force,,23,0,
512080,Fancy skiing VR,,29|38,0,
512110,Cosmos Crash VR,,42,0,
512220,Trickster VR,,16,0,
512240,Duckpocalypse,,24,0,
512410,69 ways to kill a zombie,,20|44,0,
513320,Alice VR,,55,0,
513790,Deadlock,,24,0,
513860,Elena,,48,0,
514350,Fancy Slingshot,,25,0,
516590,CyberThreat,,13|20|21,0,
517130,Soundboxing,,63,0,
517160,Richie's Plank Experience,,61,0,
517860,Fly to Kuma Maker,,59,0,
518000,Edge Guardian,,67,0,
518580,Accounting,,48,0,
519940,Kubz VR,,59,0,
520010,Climbey,,26|30,0,
520470,Music Inside,,26|64,0,
520510,Tribocalypse VR,,17,0,
520750,DWVR,,20,0,
520930,Pong It VR,,28,0,
521860,Lop Nor Zombie,,20,0,
521950,Bullet Sorrow VR,,22,0,
522020,Blue Effect VR,,24|27,0,
522250,Quick Draw,,25,0,
523090,Bomb U,,26,0,
523440,zTime,,57|59,0,
523570,Across flash,,70,0,
524060,Block Wave VR,,59,0,
524120,Raptor Valley,,21,0,
524380,Yore VR,,1|13|49,0,
524690,Bitslap,,67,0,
525910,Cockroach VR,,24,0,
526240,Cloudbound,,40,0,
526440,vRhythm,,64,0,
526750,The Gleam,,6,0,
527580,Pitch Hit Baseball,,28,0,
527720,Keep Defending,,56,0,
528990,Basketball babe,,66,0,
529040,Fine China,,42,0,
529150,Lazerbait,,57,0,
529360,Void rangers,,24,0,
529630,The Rabbit Hole,,6|45,0,
530120,VR Diner Duo,,27|32,0,
530350,Smashbox Arena,,20|26,0,
531050,Far Beyond: A space odyssey VR,,48|60,0,
531270,Art of Fight,,21|26,0,
532740,Crazy Flies,,42,0,
533910,Offroad: VR,,8,0,
534000,Fast Action Hero,,22,0,
534230,Quell 4D,,21,0,
534720,Tornuffalo,,42,0,
534750,The Rise of Captain Longbeard,,48,0,
534870,Arcane,,7,0,
534880,Super ninja hero vr,,17,0,
535010,Pen Island VR,,42,0,
535410,CapitalShip:VR,,57,0,
535460,A Fear Of Heights And Other Things,,61,0,
538410,Chicken Chase,,42,0,
538710,Dead Hungry,,32,0,
539050,Super Island God,,13,0,
542770,Castle Must be Mine,,56,0,
543580,Pipejob,,59,0,
543710,Cogito,,60,0,
544410,Potioneer: Gardening Simulator,,42,0,
544530,Escape bloody mary,,6|45,0,
546110,Picturesque VR,,36,0,
546350,Craft Keep VR,,48,0,
547200,Boo Breakers: The Ghostening,,48,0,
548340,Abode,,6,0,
551690,Counter Fight,,32,0,
551720,Unearthed Inc: The Lost Temple,,48,0,
552450,SeriousSam: First encounter,,20|21|26,0,
555170,OneManVurgeR,,32,0,
555880,Sairento VR,,20,0,
556140,We are stars,,62,0,
556230,Off-Road Paradise,,8,0,
566530,Mass Exodus,,27,0,
571500,Magic Hour,,61,0,
572870,Gotham Gansta,,27,0,
575210,Happy drummer VR,,64,0,
573270,Alcatraz: VR Escape Room,,6,0,
572660,Nick,,24,0,
574040,Christmas Massacre VR,,24,0,
539090,Clazer,,19|30|61,0,
572130,Flock VR,,61,0,
570230,Deathlike: Awakening,,45,0,
570340,GoWings Safari,,23,0,
566640,DinoFense,,24,0,
560010,Starship Survivor,,20,0,
573610,DOOORS VR,,6,0,
568800,Summer times Afternoon,,61,0,
420020,Eye of the Owl Bosch VR,,61,0,
553490,Wild Game Hunter VR,,20,0,
543920,Weird creatures,,20,0,
552340,Danger Room,,24,0,
566870,VR Monster Awakens,,13,0,
559140,Pinheads Bowling VR,,30,0,
573360,Warka Flarka Flim Flam,,66,0,
561080,The Price of Freedom,,61|54,0,
570000,Old Friend,,62,0,
570910,Crazy Max VR,,20,0,
560970,Fireworks Desert Blast,,42,0,
571180,Holiday Simulator: Wacky Sleigh Ride,,43,0,
571230,Domino Craft VR,,13|60,0,
552870,aMAZEing adventures,,59,0,
556640,Gladius,,7,0,
565030,Blueshift,,23,0,
570060,TacoFace,,42,0,
555730,Robot City Stadium,,26|30,0,
537140,Nemesis Perspective,,27,0,
553530,Teratini VR,,1|50,0,
566350,Quizality Christmas!,,58,0,
535190,Chunky Orbits,,13,0,
572000,President Erect VR,,42,0,
556700,Heavy Impact,,30,0,
517620,Gooblins,,24,0,
566060,The Crypts of Anak Shaba VR,,7|49,0,
462670,VR Xterminator,,24,0,
571050,Santa Sling,,43,0,
406890,Fruit Golf,,26|29,0,
408250,Eagle Flight,,23|26,0,
564920,Smoots Tennis Survival Zombie,,28,0,
466520,Drone Hunter VR,,24,0,
563160,VR the Anime Girls Method,,30|42,0,
553690,Dustoff Heli Rescue 2,,43|55,0,
498460,Abduction Episode 1: Her Name was Sarah,,45,0,
565190,Spacecats with Lasers VR,,70,0,
525680,Deisim,,13,0,
570600,Binary Trigger,,24,0,
495740,Random Journey,,43,0,
568690,Smash Party VR,,42,0,
552960,Fastigium,,44,0,
566270,Child Of Ault,,56,0,
565200,Gem Monster,,59,0,
513160,Escape from Zellman Orbital,,6,0,
554940,VR Apocalypse,,21,0,
542110,FriendShip,,26,0,
513270,Lockdown: Stand Alone,,21,0,
518640,Dragon Skies VR,,1,0,
468740,Snow Fortress,,25|26|56,0,
540740,Perfect,,61,0,
561230,Special Delivery,,37,0,
560870,Singing Stones VR,,49|61,0,
565670,Kunlun Fight,,67,0,
552300,Soldier Sortie: VR Agent 006,,21,0,
553110,Alpine Ski VR,,30,0,
558850,Children of Colossus,,1|7,0,
566170,Elephant Express VR,,59,0,
569330,Flight Simulator: VR,,13|61,0,
523550,Defense of Castle Chilly,,17,0,
567730,Merry Snowballs,,25,0,
506930,CoLab,,60,0,
568030,Last Mage Standing,,7|24,0,
561360,VR Invaders,,25,0,
416090,Caretaker Retribution,,23,0,
581920,Dunk It (VR Basketball),,30,0,
405340,Siegecraft Commander,,57,0,
517400,VR Amazing Files: Horror Hospital,,45,0,
575170,Don't Mess Up,,17|26|27,0,
566880,Henry The Hamster Handler,,59,0,
566900,Wacky Wings,,25,0,
573280,Island Getaway,,36,0,
557460,ToledoVR,,1|13,0,
555230,The table at war VR,,56,0,
569390,Street of Sanctuary VR,,20,0,
579780,Mental Asylum VR,,45,0,
576880,Blackwater Bayou VR,,20,0,
578660,Kindled Cavern,,48,0,
557960,Beach Bowling Dream VR,,30,0,
578060,Noda,,57|59,0,
566180,Fractal,,7|13|61,0,
578880,MIST VR,,6|45,0,
559170,Ready Aim Splat!,,24,0,
568480,Space Slam,,55,0,
579050,VRSailing,,30|61,0,
389260,Lucid Trips,,65,0,
568250,Wanderer: The Rebirth,,7|57,0,
